comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyQUj0NxZiu2JilJiZ4AaABAg,,4-qKoGqkRAg,False,@waltersalvatore8481,2026-05-21T10:38:32Z,2026-05-21T10:38:32Z,9,"Perdonami...ma io non ci riuscirei mai...anzi avrei fatto io a loro,quello che loro avevano fatto a te...",,0,corriere_della_sera,author_3688,1
UgzrN3afMnMVHJZNb814AaABAg,,4-qKoGqkRAg,False,@FabrizioRocchetta,2026-05-21T10:39:59Z,2026-05-21T10:39:59Z,7,Male se abbracciamo i delinquenti non abbiamo capito niente; questi delinquenti quando escono fanno come prima delinquenti restano,,0,corriere_della_sera,author_3689,1
UgzCMid598PSHMPFZ6t4AaABAg,,4-qKoGqkRAg,False,@cruzcaster8576,2026-05-21T10:48:48Z,2026-05-21T10:50:07Z,1,Chapeaux 🎩,,0,corriere_della_sera,author_3690,0
UgwDYd8Rf1x9zU9oE_p4AaABAg,,4-qKoGqkRAg,False,@JohnnieSbrocca,2026-05-21T10:53:52Z,2026-05-21T10:53:52Z,0,Perché all'aggressore italiano 20 anni e al complice immigrato solo 10 mesi?,,0,corriere_della_sera,author_3527,1
UgyjQxS-a5ibWe1KGOp4AaABAg,,4-qKoGqkRAg,False,@mdm3958,2026-05-21T10:54:38Z,2026-05-21T10:54:38Z,1,la miglior vendetta e il perdono,,0,corriere_della_sera,author_3691,0
UgxMqLHxMxAMSdn7DmB4AaABAg,,4-qKoGqkRAg,False,@Walter-m9f,2026-05-21T11:15:39Z,2026-05-21T11:15:39Z,2,Ma si perdoniamo chi ci fà del male tanto...,,0,corriere_della_sera,author_462,1
UgzCMid598PSHMPFZ6t4AaABAg.AX3lywpGAxSAX3pf-mBHDs,UgzCMid598PSHMPFZ6t4AaABAg,4-qKoGqkRAg,True,@MicheleLaraia-j4m,2026-05-21T11:21:02Z,2026-05-21T11:21:37Z,0,Chapeau 🎩,UgzCMid598PSHMPFZ6t4AaABAg,1,corriere_della_sera,author_3320,0
UgyjQxS-a5ibWe1KGOp4AaABAg.AX3mddwVOiTAX3pmw3SRM9,UgyjQxS-a5ibWe1KGOp4AaABAg,4-qKoGqkRAg,True,@MicheleLaraia-j4m,2026-05-21T11:22:07Z,2026-05-21T11:22:07Z,1,è,UgyjQxS-a5ibWe1KGOp4AaABAg,1,corriere_della_sera,author_3320,0
UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3poARNW7R,UgxMqLHxMxAMSdn7DmB4AaABAg,4-qKoGqkRAg,True,@MicheleLaraia-j4m,2026-05-21T11:22:17Z,2026-05-21T11:22:17Z,0,sì,UgxMqLHxMxAMSdn7DmB4AaABAg,1,corriere_della_sera,author_3320,0
UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3qcXXAtBn,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3poARNW7R,4-qKoGqkRAg,True,@Walter-m9f,2026-05-21T11:29:26Z,2026-05-21T11:29:26Z,0,@MicheleLaraia-j4m Piace appagare il proprio ego eh,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3poARNW7R,2,corriere_della_sera,author_462,1
UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3r7t_LC8i,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3qcXXAtBn,4-qKoGqkRAg,True,@MicheleLaraia-j4m,2026-05-21T11:33:51Z,2026-05-21T11:33:51Z,2,​@Walter-m9fio ego non ne ho.Basso profilo.,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3qcXXAtBn,3,corriere_della_sera,author_3320,0
UgzrN3afMnMVHJZNb814AaABAg.AX3kyQ8cWHJAX430YSq8D6,UgzrN3afMnMVHJZNb814AaABAg,4-qKoGqkRAg,True,@antoniofranchino5665,2026-05-21T13:26:26Z,2026-05-21T13:26:26Z,1,Stima per la vittima ma non ha capito che si tratta di un gesto che mira solo a giocarsi la carta del pentimento in appello….,UgzrN3afMnMVHJZNb814AaABAg,1,corriere_della_sera,author_3692,1
UgynM1_303Dx0xMdviR4AaABAg,,4-qKoGqkRAg,False,@patriziachirico-mo1ew,2026-05-21T13:45:43Z,2026-05-21T13:45:43Z,0,Povero ragazzo....😢 io per come sono non sarei riuscita a perdonare.....,,0,corriere_della_sera,author_3693,0
UgwFP2Su8Bot6g2UVCN4AaABAg,,4-qKoGqkRAg,False,@danielegruppioni1029,2026-05-21T13:59:17Z,2026-05-21T13:59:17Z,0,"Lode a questo ragazzo! Io, non ce la farei. Oppure è un modo per evitare che le acque si agitino troppo.",,0,corriere_della_sera,author_3262,0
UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX48OQMbsg8,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3qcXXAtBn,4-qKoGqkRAg,True,@Walter-m9f,2026-05-21T14:13:23Z,2026-05-21T14:13:23Z,0,@MicheleLaraia-j4m Se perdoni chi ti massacra ego ne hai a zefunn.,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3r7t_LC8i,4,corriere_della_sera,author_462,1
UgwR79CSCYUEkmY_10p4AaABAg,,4-qKoGqkRAg,False,@sonuko_yonatsu,2026-05-21T17:21:22Z,2026-05-21T17:21:22Z,1,"Ragazzo ti auguro il meglio ma non so, non mi fiderei di quegli esseri e del loro avvocato",,0,corriere_della_sera,author_3578,1
