comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgydsniesRRGP_O9vFV4AaABAg,,Jn6nFJyjhLI,False,@carobarca-mm6xn,2026-05-27T12:02:08Z,2026-05-27T12:02:08Z,7,Nel 98 ....... Euro?,,0,ilmessaggero,author_5014,0
UgwU0MVDYnAYq4tWG9p4AaABAg,,Jn6nFJyjhLI,False,@giuseppemangiarini9994,2026-05-27T12:28:08Z,2026-05-27T12:28:08Z,1,"Quale è la ragione di esistere della GIUSTIZIA?
Da questo si capisce.....",,0,ilmessaggero,author_5015,0
UgyOkUvkRG1YldLs0WZ4AaABAg,,Jn6nFJyjhLI,False,@morenagaleati2145,2026-05-27T13:23:48Z,2026-05-27T13:23:48Z,0,"Si parla di lire all’epoca, ne è passato di tempo!!!!😬",,0,ilmessaggero,author_5016,0
Ugw-I74jlMrJML7KqaZ4AaABAg,,Jn6nFJyjhLI,False,@Social-ns8ec,2026-05-27T13:43:14Z,2026-05-27T13:43:14Z,1,"No ma,  fate con calma, eh",,0,ilmessaggero,author_5017,0
UgxhgvbVjNu1x842a394AaABAg,,Jn6nFJyjhLI,False,@CarolPizzolitto,2026-05-27T14:55:59Z,2026-05-27T14:55:59Z,4,Il Pozzo Senza Fondo è proprio dentro ai Tribunali.. 🤨,,0,ilmessaggero,author_5004,1
UgwkePHYURSBSPfsiBh4AaABAg,,Jn6nFJyjhLI,False,@angelicaagliata9608,2026-05-27T19:14:07Z,2026-05-27T19:14:07Z,0,Usucapione 😂😂😂😂,,0,ilmessaggero,author_5018,1
Ugz74-RfKTFEyBRq8Ed4AaABAg,,Jn6nFJyjhLI,False,@nunziaformicola475,2026-05-28T00:26:36Z,2026-05-28T00:26:36Z,1,Non ti basta una vita per avere giustizia!,,0,ilmessaggero,author_5019,0
UgwfIKoTqBuRw-N83at4AaABAg,,Jn6nFJyjhLI,False,@ivano2907,2026-05-28T04:55:05Z,2026-05-28T04:55:05Z,0,"Che vuoi che siano 20 anni, rientrano nella norma.",,0,ilmessaggero,author_5020,0
UgwHwGfPsLS1fRsZw0F4AaABAg,,Jn6nFJyjhLI,False,@radamesboscolo,2026-05-28T05:21:25Z,2026-05-28T05:21:25Z,0,Le truffe immobiliari giocano sul vendere ed il compratore.,,0,ilmessaggero,author_5021,0
UgxTnlrFhd2_rGhG8EJ4AaABAg,,Jn6nFJyjhLI,False,@antoniopennino7696,2026-05-28T08:41:14Z,2026-05-28T08:41:14Z,0,Saranno morti o giu' di li... Viva la giustizia neh,,0,ilmessaggero,author_5022,1
UgwzPKgB-al86eUXFi54AaABAg,,Jn6nFJyjhLI,False,@NinaVaiznic,2026-05-28T10:26:51Z,2026-05-28T10:29:53Z,0,"Beh, cosa volete che siano quasi 30 anni di attesa.....!!!
Mica tutti i giudici sono disponibili a leggere i fascicoli....!
Molti di essi sono impegnati a cantare bella ciao....!!
Alla facciaccia di chi li mantiene a caviale e champagne...!! 🤔😡

Trallallero - Trallallà...!!

🙆🤷🎤🥁🎻🪕🎸🎺🎷😅",,0,ilmessaggero,author_3759,1
UgzJeVTXZQwzxvVcBxB4AaABAg,,Jn6nFJyjhLI,False,@ginopiaggesi1081,2026-05-28T11:34:08Z,2026-05-28T11:34:08Z,0,sarà stato un pozzo di petrolio....,,0,ilmessaggero,author_2403,0
UgxfZQhUcyw3zsabtEp4AaABAg,,Jn6nFJyjhLI,False,@luro5892,2026-05-28T13:08:49Z,2026-05-28T13:08:49Z,0,Nel 98 c'era la lira,,0,ilmessaggero,author_5023,0
