comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwsYa4CJ35xdSsFX9V4AaABAg,,CpM8QrtPcHQ,False,@TinaEsposito-s2j,2026-05-22T09:23:29Z,2026-05-22T09:23:29Z,0,"La democrazia è come la religione 
Oppio per i popoli",,0,lastampa,author_4851,1
UgzL4oh5bMtAREDuuVV4AaABAg,,CpM8QrtPcHQ,False,@adelegranato4838,2026-05-22T09:48:18Z,2026-05-22T09:48:18Z,1,"Buongiorno speriamo  che vada al governo mi sembra una persona positiva e onesta, saluti",,0,lastampa,author_115,0
UgwVhn-1ymq0_dU_cgF4AaABAg,,CpM8QrtPcHQ,False,@isaiacravario4826,2026-05-22T09:50:44Z,2026-05-22T09:50:44Z,0,Ringraziate la sinistra,,0,lastampa,author_3756,1
UgweZxWfapeTNyTNhzl4AaABAg,,CpM8QrtPcHQ,False,@LUCHINO56-x6j,2026-05-22T10:07:50Z,2026-05-22T10:07:50Z,0,Sarà il Bukele italiano? Speriamo,,0,lastampa,author_189,1
UgwHqwWjGtZz9ZGLIzF4AaABAg,,CpM8QrtPcHQ,False,@NinaCompagnino,2026-05-22T10:16:52Z,2026-05-22T10:16:52Z,0,"Politici che hanno cambiato casacca, ecco chi è con il generale. Si possono definire, volta gabbana, traditori, leccacu...., pecoroni. E chi li vota????????? Cervelli claudicanti😂😂😂😂😂😂😂😂😂😂😂😂",,0,lastampa,author_3111,1
UgwsYa4CJ35xdSsFX9V4AaABAg.AX6C-vxijukAX6M3-7Zf4X,UgwsYa4CJ35xdSsFX9V4AaABAg,CpM8QrtPcHQ,True,@MidgardMystic,2026-05-22T10:51:17Z,2026-05-22T10:51:17Z,0,Ecco la minchiata del giorno...🤡,UgwsYa4CJ35xdSsFX9V4AaABAg,1,lastampa,author_41,1
UgzL4oh5bMtAREDuuVV4AaABAg.AX6EqiInVtnAX6M5LeKh08,UgzL4oh5bMtAREDuuVV4AaABAg,CpM8QrtPcHQ,True,@MidgardMystic,2026-05-22T10:51:36Z,2026-05-22T10:51:36Z,0,🤡🤣,UgzL4oh5bMtAREDuuVV4AaABAg,1,lastampa,author_41,1
UgwsYa4CJ35xdSsFX9V4AaABAg.AX6C-vxijukAX6VylE-n1v,UgwsYa4CJ35xdSsFX9V4AaABAg.AX6C-vxijukAX6M3-7Zf4X,CpM8QrtPcHQ,True,@TinaEsposito-s2j,2026-05-22T12:17:57Z,2026-05-22T12:17:57Z,0,"​@MidgardMystic ovviamente dopo di te
😂😂😂",UgwsYa4CJ35xdSsFX9V4AaABAg.AX6C-vxijukAX6M3-7Zf4X,2,lastampa,author_4851,0
UgwsYa4CJ35xdSsFX9V4AaABAg.AX6C-vxijukAX6WPfgVg9y,UgwsYa4CJ35xdSsFX9V4AaABAg,CpM8QrtPcHQ,True,@MidgardMystic,2026-05-22T12:21:45Z,2026-05-22T12:21:45Z,0,"​@TinaEsposito-s2jnon ti preoccupare, le donne prima di tutto...🤣",UgwsYa4CJ35xdSsFX9V4AaABAg,1,lastampa,author_41,1
Ugy9hEZ89E4fzwL9yIZ4AaABAg,,CpM8QrtPcHQ,False,@alessiovilla708,2026-05-23T09:03:02Z,2026-05-23T09:03:02Z,1,E quindi?,,0,lastampa,author_4852,0
Ugx5Iq-onQ179rOPni54AaABAg,,CpM8QrtPcHQ,False,@MarcoTiradritti,2026-05-25T09:52:45Z,2026-05-25T09:52:45Z,0,Va reimmigrato ha nonna dell'Istria con discendenza ungherese ...quindi non italiano vero 😂😂😂😂😂,,0,lastampa,author_647,1
