comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugx06Ix80dHwYH_xVgl4AaABAg,,czVnDDHDVng,False,@MarisaTurrin,2026-05-22T18:44:33Z,2026-05-22T18:44:33Z,43,"FORZA GIOVANNI,TI SONO TUTTI MOLTO VICINI!!!!!",,0,lastampa,author_4575,0
UgxgwLnS7wrvdR1JTr14AaABAg,,czVnDDHDVng,False,@CarmelaImperatrice,2026-05-22T18:49:17Z,2026-05-22T18:49:17Z,1,💪💪💪💪💪❤❤,,0,lastampa,author_4576,0
UgynZUy1rc8vITcqDmJ4AaABAg,,czVnDDHDVng,False,@ritabonfanti8423,2026-05-22T19:12:33Z,2026-05-22T19:12:33Z,6,❤❤❤❤w I gatti  e gli animali...fanno sempre eeeee bene❤❤❤❤❤baciooo,,0,lastampa,author_4577,0
UgzpsnuoObawSDA8Cv54AaABAg,,czVnDDHDVng,False,@graziellaghini9738,2026-05-22T19:31:17Z,2026-05-22T19:31:17Z,11,Forza 💪❤❤❤❤❤,,0,lastampa,author_4578,0
UgwZq_qT09-uqDU-3jl4AaABAg,,czVnDDHDVng,False,@laBiondaColPanda,2026-05-22T20:14:04Z,2026-05-22T20:14:04Z,20,Che uomo dolce. Gli auguro il meglio ❤,,0,lastampa,author_4579,0
UgyOSHRC-uqf8hpQaFF4AaABAg,,czVnDDHDVng,False,@claradesiato,2026-05-22T21:08:58Z,2026-05-22T21:08:58Z,4,Splendi la tua luce si espanderà come una nuvola su tutti noi con la tua bellezza evanescente unica😊,,0,lastampa,author_4580,0
Ugxr3yieSTgcIfXOZaV4AaABAg,,czVnDDHDVng,False,@monos71,2026-05-22T21:39:41Z,2026-05-22T21:39:41Z,9,Artista straordinario con un percorso difficile un abbraccio fortissimo❤,,0,lastampa,author_4581,0
UgzTAxSPMOw-gVvWtux4AaABAg,,czVnDDHDVng,False,@christianonovasconi5890,2026-05-22T23:45:58Z,2026-05-22T23:45:58Z,0,Forza grande uomo! Sei un'esempio. Sempre con te!,,0,lastampa,author_622,0
Ugz_O6WqQikB7OKJJHR4AaABAg,,czVnDDHDVng,False,@valeriaelsana3096,2026-05-23T05:41:14Z,2026-05-23T05:41:14Z,2,E allora?,,0,lastampa,author_4582,0
Ugz_O6WqQikB7OKJJHR4AaABAg.AX8NMz9FcCLAX8_4m5XCyY,Ugz_O6WqQikB7OKJJHR4AaABAg,czVnDDHDVng,True,@vincentjezequel7525,2026-05-23T07:32:20Z,2026-05-23T07:32:20Z,1,...e santo il cielo....tra chi non sa cosa fare chi non sa cosa scrivere....l acqua che scorre sotto ai ponti assume come detto il suo significato ....😂😂😂,Ugz_O6WqQikB7OKJJHR4AaABAg,1,lastampa,author_4583,1
