comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwrGUDBO1EjacPDrDV4AaABAg,,hEsK7x9LbwQ,False,@SaraIsaia-g3x,2026-05-24T06:12:15Z,2026-05-24T06:12:15Z,0,Sto senza macchina...vado a piedi...,,0,repubblica,author_1350,0
UgygA8hyzXyrmPBvauB4AaABAg,,hEsK7x9LbwQ,False,@PietroFerrante-w6g,2026-05-24T06:23:42Z,2026-05-24T06:23:42Z,5,"Non trattabili , se Gli offrono 269 mila euro non se ne parla",,0,repubblica,author_3096,1
UgxoBhcSUUCDtxZC43l4AaABAg,,hEsK7x9LbwQ,False,@MrEgo-cn6nv,2026-05-24T06:25:01Z,2026-05-24T06:25:01Z,0,Dove abito io garage a oltre 120.000€ con punte di 200.000 e non durano nulla in vendita,,0,repubblica,author_3098,0
UgxxMRvKnAxYEzJRbvJ4AaABAg,,hEsK7x9LbwQ,False,@alessandrozanon8393,2026-05-24T06:28:16Z,2026-05-24T06:28:16Z,15,Probabilmente qualcuno lo comprerà. Io me ne resto nella mia campagna Veneta e con quei soldi ti fai una bella villetta da 150 mq con giardino tutta su un piano. Vivi da Papa e a Roma mi vedono per un fine settimana qualsiasi ogni 20 anni.,,0,repubblica,author_124,0
Ugy9De4y2Hrcfl-NrUx4AaABAg,,hEsK7x9LbwQ,False,@lisolanel,2026-05-24T06:33:51Z,2026-05-24T06:33:51Z,0,Già se lo compri per fare speculazione ci guadagni sopra  in poco tempo,,0,repubblica,author_3099,0
UgwCusOx8AzfR2wAAE14AaABAg,,hEsK7x9LbwQ,False,@ruotaquadrata4860,2026-05-24T06:57:52Z,2026-05-24T06:57:52Z,1,😂😂😂😂 E che ci parcheggi? Un monopattino! 😂😂😂😂,,0,repubblica,author_3100,0
UgwfkjBEluTyWFG73-J4AaABAg,,hEsK7x9LbwQ,False,@LaraMedici-v8s,2026-05-24T07:32:08Z,2026-05-24T07:32:08Z,0,Sembra un furbone. Comune ignorantone che crede che gli acquirenti abbiano l'anella al naso..,,0,repubblica,author_3101,1
Ugw9_vZit-ZuNNDUcQJ4AaABAg,,hEsK7x9LbwQ,False,@sabry7214,2026-05-24T07:40:21Z,2026-05-24T07:40:21Z,0,Non compratelo,,0,repubblica,author_3102,0
UgzLxQFv4JHMC76nuCd4AaABAg,,hEsK7x9LbwQ,False,@itsmeantonioo,2026-05-24T07:57:26Z,2026-05-24T07:57:26Z,0,ma se è il prezzo di mercato qual è la notizia,,0,repubblica,author_3103,0
UgzgTz9yLWK4poZ7h5Z4AaABAg,,hEsK7x9LbwQ,False,@pasqualedesantis7675,2026-05-24T08:01:32Z,2026-05-24T08:01:32Z,0,Lo già comprato vicino alla fontana romana chiamata il nasone posteggio tranquillo e lo pagato poco 🤣🤣,,0,repubblica,author_1640,0
UgyJ9xPUAj3PrlaT35Z4AaABAg,,hEsK7x9LbwQ,False,@michelasirigu6660,2026-05-24T08:36:12Z,2026-05-24T08:36:12Z,0,Nel mio paese con 200mila ti fai una megavilla,,0,repubblica,author_3104,1
UgxRPCYiJaiIvnra7Kl4AaABAg,,hEsK7x9LbwQ,False,@angelomorandi310,2026-05-24T09:15:15Z,2026-05-24T09:15:15Z,0,"Penso sempre al tatuaggio di Vanna marchi, e mi sa che è azzeccato",,0,repubblica,author_3105,0
UgyS1nqp3XzMDskFjFV4AaABAg,,hEsK7x9LbwQ,False,@tony8996an,2026-05-24T09:36:10Z,2026-05-24T09:36:10Z,0,Pazzo che lo compra,,0,repubblica,author_3106,1
UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXBNRfaHCbX,UgxxMRvKnAxYEzJRbvJ4AaABAg,hEsK7x9LbwQ,True,@MarcoTiradritti,2026-05-24T09:39:35Z,2026-05-24T09:39:35Z,0,In zona inquinata 😂😂😂,UgxxMRvKnAxYEzJRbvJ4AaABAg,1,repubblica,author_647,1
UgwHNeAh4swiqRc8wG14AaABAg,,hEsK7x9LbwQ,False,@PaoloArganetto,2026-05-24T09:51:00Z,2026-05-24T09:51:00Z,0,"Poco, per la zona. Non mi paresse un esagierasion. Que dice ?",,0,repubblica,author_3107,0
UgxjpdNVM_hTrt-Y6U14AaABAg,,hEsK7x9LbwQ,False,@milogasparini,2026-05-24T10:06:27Z,2026-05-24T10:06:27Z,0,Io mi auguro che tutto questo possa finire al più presto!!!!anche perché è zona ztl,,0,repubblica,author_3108,0
Ugxswm0qBXgNYZlGq5Z4AaABAg,,hEsK7x9LbwQ,False,@bluwind68,2026-05-24T13:18:56Z,2026-05-24T13:18:56Z,0,Ma sai quante multe per sosta vietata  ci pago con 270k € ? Ci vorranno 10 vite 😂 tieniti il parcheggio che io chiamo il comune e facciamo un accordo 😂,,0,repubblica,author_2641,1
UgzLxQFv4JHMC76nuCd4AaABAg.AXBBkUgS3RFAXBlhkwwxh9,UgzLxQFv4JHMC76nuCd4AaABAg,hEsK7x9LbwQ,True,@bluwind68,2026-05-24T13:20:22Z,2026-05-24T13:20:22Z,0,Prezzo di mercato  27mila euro al metro quadro ? Ma manco a Montecarlo con vista mare .,UgzLxQFv4JHMC76nuCd4AaABAg,1,repubblica,author_2641,1
UgzLxQFv4JHMC76nuCd4AaABAg.AXBBkUgS3RFAXBv_uEjhFl,UgzLxQFv4JHMC76nuCd4AaABAg,hEsK7x9LbwQ,True,@itsmeantonioo,2026-05-24T14:46:41Z,2026-05-24T14:46:41Z,0,​@bluwind68se c'è un'offerta quello è il prezzo di mercato,UgzLxQFv4JHMC76nuCd4AaABAg.AXBBkUgS3RFAXBlhkwwxh9,2,repubblica,author_3103,0
UgzAwnN5P2Sobx40cR14AaABAg,,hEsK7x9LbwQ,False,@lauracastagna3446,2026-05-24T15:13:53Z,2026-05-24T15:13:53Z,0,Onesto per essere così vicino alla fontana di trevi,,0,repubblica,author_3109,0
UgzFeVktJB8x8PDCXm54AaABAg,,hEsK7x9LbwQ,False,@fulvioceci9937,2026-05-24T15:31:42Z,2026-05-24T15:31:42Z,0,Io ne vorrei due,,0,repubblica,author_3110,0
UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXC7_zMeY0c,UgxxMRvKnAxYEzJRbvJ4AaABAg,hEsK7x9LbwQ,True,@NinaCompagnino,2026-05-24T16:40:17Z,2026-05-24T16:40:17Z,0,"😊non è solo Roma, e Milano dove lo metti?????? Con quello che costa, una casa di ringhiera di 30 metri quadri, ti ci compri un paesino intero ( per dire) 😂😂😂😂😂😂😂😂",UgxxMRvKnAxYEzJRbvJ4AaABAg,1,repubblica,author_3111,1
UgyyR4VKj8grpw87G2R4AaABAg,,hEsK7x9LbwQ,False,@MidgardMystic,2026-05-24T16:43:31Z,2026-05-24T16:43:31Z,0,A morte!,,0,repubblica,author_41,1
UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXC8I9s8qsG,UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXBNRfaHCbX,hEsK7x9LbwQ,True,@alessandrozanon8393,2026-05-24T16:46:28Z,2026-05-24T16:46:28Z,1,​@MarcoTiradritticampagna Veneta vecchio....zona colli euganei. Qui sulle falde scorre cabernet e serprino.,UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXBNRfaHCbX,2,repubblica,author_124,0
UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXCBHKUcnP_,UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXC8I9s8qsG,hEsK7x9LbwQ,True,@MarcoTiradritti,2026-05-24T17:12:34Z,2026-05-24T17:12:34Z,0,​@alessandrozanon8393ma sei sicuro?....te lo auguro,UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXC8I9s8qsG,3,repubblica,author_647,0
UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXCBvGRoKx_,UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXC8I9s8qsG,hEsK7x9LbwQ,True,@alessandrozanon8393,2026-05-24T17:18:09Z,2026-05-24T17:18:09Z,0,​@MarcoTiradritti di sicuro c'è solo la morte. Nel frattempo che attendiamo mi godo la mia beata ignoranza nella Serenissima Repubblica,UgxxMRvKnAxYEzJRbvJ4AaABAg.AXB1YMAN4DXAXCBHKUcnP_,4,repubblica,author_124,0
Ugy2701ugy821cqCTkx4AaABAg,,hEsK7x9LbwQ,False,@marcomo9585,2026-05-24T17:28:41Z,2026-05-24T17:28:41Z,0,"Lo scemo è chi compra, non chi vende",,0,repubblica,author_2553,1
Ugye4LCc59i6N1TuDzd4AaABAg,,hEsK7x9LbwQ,False,@antoninomusolino2764,2026-05-24T17:32:32Z,2026-05-24T17:32:32Z,0,Ma va a fare in,,0,repubblica,author_3112,1
UgwafUTFUHB_8zdcWCV4AaABAg,,hEsK7x9LbwQ,False,@hudefakaryu8454,2026-05-24T19:18:17Z,2026-05-24T19:18:17Z,0,"Meraviglie del libero mercato. D'altronde ci sono gli s***nzi che glieli danno, che devi fare...",,0,repubblica,author_276,1
UgzgzPMUQ5xnP91QbId4AaABAg,,hEsK7x9LbwQ,False,@Ago3451,2026-05-24T19:27:10Z,2026-05-24T19:27:10Z,0,Ma va a ca....,,0,repubblica,author_1835,1
