comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyQZ4RMPJ1X8GbaH3l4AaABAg,,sWG-k3MNmGw,False,@gabrielebuemi-p7f,2026-05-27T14:06:40Z,2026-05-27T14:06:40Z,2,Ciaoo😊,,0,repubblica,author_86,0
UgxBCaQ5y0RZxnJ5_Vt4AaABAg,,sWG-k3MNmGw,False,@OrsoBpolare70-gv1hm,2026-05-27T14:09:26Z,2026-05-27T14:09:26Z,4,Com'e' umano🙏restiamo umani col culo degli altri😂😂,,0,repubblica,author_87,1
UgxWBnQ-o0zYd2O_-lJ4AaABAg,,sWG-k3MNmGw,False,@DzDkill,2026-05-27T14:15:35Z,2026-05-27T14:15:35Z,0,"Solo
Dei
Pazzi possono andare a sentire parlare un altro pazzo sotto il sole con 35 gradi.",,0,repubblica,author_88,1
UgxWBnQ-o0zYd2O_-lJ4AaABAg.AXJaPfPi-0sAXJc7D1J_qn,UgxWBnQ-o0zYd2O_-lJ4AaABAg,sWG-k3MNmGw,True,@francescoleo7573,2026-05-27T14:30:32Z,2026-05-27T14:30:32Z,0,Solo un cretino può scivere un simile commento  sotto il gelo a 50 gradi sotto zero.,UgxWBnQ-o0zYd2O_-lJ4AaABAg,1,repubblica,author_89,1
UgySkGf6F8f8FjyK2314AaABAg,,sWG-k3MNmGw,False,@mariarosazucchetto2488,2026-05-27T14:32:19Z,2026-05-27T14:32:19Z,22,Tutta la mia stima a Papa Leone .,,0,repubblica,author_90,0
Ugzrqy1tsmO77qS5IEd4AaABAg,,sWG-k3MNmGw,False,@raffaellaborghi6730,2026-05-27T14:33:18Z,2026-05-27T14:33:18Z,11,si vede benissimo Lui che subito interviene sulla scena,,0,repubblica,author_91,0
UgxzW4zvkx8FJx45miN4AaABAg,,sWG-k3MNmGw,False,@ToniaCrazy,2026-05-27T14:47:27Z,2026-05-27T14:47:27Z,3,Sviene e applausi 😊😊😊😊😊😊😊,,0,repubblica,author_92,0
UgyMA_vLUWpjXc1cSU14AaABAg,,sWG-k3MNmGw,False,@linachiaradia9790,2026-05-27T14:58:36Z,2026-05-27T14:58:36Z,2,Bravo papà  Leone! Santo Padre è uomo speciale Amen ❤,,0,repubblica,author_93,0
Ugxbg1zJZarA_ZkfVkJ4AaABAg,,sWG-k3MNmGw,False,@AlfredoCazzaniga-hm8ve,2026-05-27T15:05:33Z,2026-05-27T15:05:33Z,1,E' tutto un gran teatro di terzordine. Applausi.,,0,repubblica,author_94,1
UgysFYp7us6TCi7bIzd4AaABAg,,sWG-k3MNmGw,False,@AriannaPatrizi,2026-05-27T15:21:44Z,2026-05-27T15:21:44Z,2,❤,,0,repubblica,author_95,0
Ugw3HmAA_alXf2jzlBF4AaABAg,,sWG-k3MNmGw,False,@DoloresMariaBonpensiere,2026-05-27T15:26:58Z,2026-05-27T15:26:58Z,3,Mi piace il papà Leone,,0,repubblica,author_96,0
UgyWjyhA2LoDJdJqM9l4AaABAg,,sWG-k3MNmGw,False,@valeriagilli8854,2026-05-27T15:37:48Z,2026-05-27T15:37:48Z,3,Anche Lui un GRANDE PAPA!,,0,repubblica,author_97,0
UgwH10Lg3s8Pch_RU5l4AaABAg,,sWG-k3MNmGw,False,@Dalla_Terra_alla_Luna,2026-05-27T15:37:55Z,2026-05-27T15:37:55Z,0,Una grande persona per ora secondo me un buon erede di Papa Francesco poi mi sbaglierò ci po sta,,0,repubblica,author_11,0
UgxX-6uz8vreWF5MKy94AaABAg,,sWG-k3MNmGw,False,@albertocadoni8165,2026-05-27T15:53:20Z,2026-05-27T15:53:20Z,0,"CHE STRANO....HO SEMPRE TROVATO LE CHIESE AMBIENTI FRESCHI  RISPETTO ALL ESTERNO!😅😅😅😅 SARA CHE DURANTE LE MESSE NON VIENE RISPETTATO LO  "" SPAZIO VITALE""????😅😮😮È  UNO SPAXIO CONNEXO COL SOVRAFFOLLAMENTO! .... IN CASI ESTREMI PORTA AL SUICIDIO....MA I BUONISTI FINGONO....DI NON SAPERE QUELLO CHE DICE LA SCIENZA, CONNESSA ALLA PSICOLOGIA JMANA E VITALE.....PERCHÈ  ALLA POLITI A MAFIOCRATI A INYERESSA SOLO IL SOLDO DA PARASSITARE😂😂😂😮😅😢😢",,0,repubblica,author_98,1
UgysJSAcEPTxxy5Y3Z14AaABAg,,sWG-k3MNmGw,False,@in101visibleclub,2026-05-27T16:06:31Z,2026-05-27T16:06:31Z,4,"Il caldo, la tensione...sono momenti cruciali, parole che devono fare la differenza. 🙏✝️❤️",,0,repubblica,author_99,0
UgwFuYKn6br6dVVtL6B4AaABAg,,sWG-k3MNmGw,False,@stefanocifelli1141,2026-05-27T19:24:58Z,2026-05-27T19:24:58Z,3,Caspita che gesto...solo un santo poteva farlo,,0,repubblica,author_100,0
UgwhhJbiGaumibvK1j14AaABAg,,sWG-k3MNmGw,False,@Daniele-oo3qz,2026-05-28T06:34:05Z,2026-05-28T06:34:05Z,0,Un Miracolo!! Un Papa che si alza per aiutare,,0,repubblica,author_101,0
Ugxy3Ho9VSfR7aOYhDx4AaABAg,,sWG-k3MNmGw,False,@augustosalvati1747,2026-05-28T09:35:17Z,2026-05-28T09:35:17Z,0,AMEN santo padre Leon ❤,,0,repubblica,author_102,0
