comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwPEo4lJeYGxM_l_wV4AaABAg,,Asw6roWe4aU,False,@AndreaGasparini-f5b,2026-05-21T07:40:21Z,2026-05-21T07:40:21Z,0,😢che traggedia,,0,ilmessaggero,author_6604
UgzLBoaDuqRlLaaqQtN4AaABAg,,Asw6roWe4aU,False,@danielaperosa920,2026-05-21T07:43:42Z,2026-05-21T07:43:42Z,5,"Certo che di pazzi c'è ne sono tanti in giro, se non fanno leggi più severe la vita umana e a rischio!",,0,ilmessaggero,author_5883
UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX3SjyMDSKw,UgzLBoaDuqRlLaaqQtN4AaABAg,Asw6roWe4aU,True,@IlProf3ssor3,2026-05-21T07:51:59Z,2026-05-21T07:51:59Z,0,"Più severe,questo va in carcere e la patente non la rivedrà mai più,come fanno ad essere più severe?(ovviamente ci mancherebbe anche,è quello che si merita)",UgzLBoaDuqRlLaaqQtN4AaABAg,1,ilmessaggero,author_6605
UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX3WXNcOgpB,UgzLBoaDuqRlLaaqQtN4AaABAg,Asw6roWe4aU,True,@dibbicargo8962,2026-05-21T08:25:05Z,2026-05-21T08:25:05Z,3,Il problema è che Milano è una città di cocainomani che vedono altro tipo di strisce... Non so se mi spiego,UgzLBoaDuqRlLaaqQtN4AaABAg,1,ilmessaggero,author_9
UgwWhSTeyX4Uq9nbp_p4AaABAg,,Asw6roWe4aU,False,@lordkilla4274,2026-05-21T08:43:20Z,2026-05-21T08:43:20Z,7,"Un altro drogato ubriaco italiano di 38 anni che uccide sulla strada, togliamogli la cittadinanza subito e rimandiamolo a casa sua.",,0,ilmessaggero,author_4270
UgzU8HBraJnwR5kTcQx4AaABAg,,Asw6roWe4aU,False,@attila5300,2026-05-21T08:59:52Z,2026-05-21T08:59:52Z,7,A questo non togliamo la cittadinanza????,,0,ilmessaggero,author_3420
UgyDv12073KOR4gqxuZ4AaABAg,,Asw6roWe4aU,False,@NazmiKorriku,2026-05-21T09:16:13Z,2026-05-21T09:16:13Z,0,Qualcuno mi può spiegare che differenza c'è se è italiano o straniero.,,0,ilmessaggero,author_6606
UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3cwoFGqfo,UgwWhSTeyX4Uq9nbp_p4AaABAg,Asw6roWe4aU,True,@stefaniapapa7727,2026-05-21T09:29:52Z,2026-05-21T09:29:52Z,1,😅🤣,UgwWhSTeyX4Uq9nbp_p4AaABAg,1,ilmessaggero,author_6607
UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3fqlJJ0Sd,UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3cwoFGqfo,Asw6roWe4aU,True,@lordkilla4274,2026-05-21T09:55:15Z,2026-05-21T09:55:15Z,2,"​@stefaniapapa7727
😂",UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3cwoFGqfo,2,ilmessaggero,author_4270
UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3iuy7u-gk,UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3fqlJJ0Sd,Asw6roWe4aU,True,@stefaniapapa7727,2026-05-21T10:22:02Z,2026-05-21T10:22:02Z,1,"​@lordkilla4274ci sta, ci sta 😉😊",UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3fqlJJ0Sd,3,ilmessaggero,author_6607
