comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxwwBdhKiIGw5ILaGZ4AaABAg,,dXVH1T_3XGA,False,@francescalonati1794,2026-05-26T08:08:42Z,2026-05-26T08:08:42Z,2,Complimenti,,0,lastampa,author_4400
UgwI-rN0gGuAz3fRc-B4AaABAg,,dXVH1T_3XGA,False,@MarcoTiradritti,2026-05-26T09:16:08Z,2026-05-26T09:16:08Z,2,Non vi era bastato quello di prima ?,,0,lastampa,author_647
UgzuNy8X5miRzAKsHCx4AaABAg,,dXVH1T_3XGA,False,@luciano19481,2026-05-26T09:56:29Z,2026-05-26T09:56:29Z,2,Quanta fuffa 😢😅😂,,0,lastampa,author_4401
UgyOY8M5hhJrN87loTV4AaABAg,,dXVH1T_3XGA,False,@giovannidistasio1319,2026-05-26T11:09:08Z,2026-05-26T11:09:08Z,0,E il Bangla PD. ☪️...?,,0,lastampa,author_1825
UgzJllHK_T_zeIv2lmx4AaABAg,,dXVH1T_3XGA,False,@giovannidistasio1319,2026-05-26T11:09:27Z,2026-05-26T11:09:27Z,0,E il Bangla PD. ☪️...?,,0,lastampa,author_1825
Ugz3uuRpLox6yzDL9F94AaABAg,,dXVH1T_3XGA,False,@ma1513,2026-05-26T11:38:24Z,2026-05-26T11:38:24Z,2,"Congratulazioni, vedo gia la rinascita di Venezia e Mestre",,0,lastampa,author_1818
UgyXqEeV8fiH0TyHuPd4AaABAg,,dXVH1T_3XGA,False,@carlacarla5990,2026-05-26T13:31:32Z,2026-05-26T13:31:32Z,1,L'opposizione ancora ci crede 😂😂😂😂😂. Chi campa di speranza di speranza muore. Finalmente in Italia c'è il vento di destra ❤per la presidente meloni e il nuovo candidato AUGURI CAROLA,,0,lastampa,author_1358
UgwI-rN0gGuAz3fRc-B4AaABAg.AXGULeUm8QBAXIkjgKCg66,UgwI-rN0gGuAz3fRc-B4AaABAg,dXVH1T_3XGA,True,@RosarioTringali-r3o,2026-05-27T06:26:35Z,2026-05-27T06:26:35Z,0,Per te dovevano votare i bengalini ?,UgwI-rN0gGuAz3fRc-B4AaABAg,1,lastampa,author_4402
Ugz3Vsd2_3WaCnj10_l4AaABAg,,dXVH1T_3XGA,False,@michelenanna993,2026-05-27T09:13:56Z,2026-05-27T09:13:56Z,1,State mesto male in Veneto .. masochisti !! non sono di destra centro né di sinistra sono apolitico ma non riconoscere i disastri del governo attuale e masochisti… Non vorrei che c’è qualche giochetto laccetto la qualunque che qualcuno dipinge le schede perché non posso pensare che ci siano tutti sti masochisti ancora in questo paese un governo che ha fatto disastri da quando si è insediato e questo lo votano ancora ma che cosa c’avete nel cervello l’acqua salata?,,0,lastampa,author_4403
UgwGA9drjEBT9fw_U7x4AaABAg,,dXVH1T_3XGA,False,@MarcoSocci-z8n,2026-05-27T13:41:10Z,2026-05-27T13:41:10Z,0,Amico di quello di prima😊😊😊,,0,lastampa,author_788
UgzuNy8X5miRzAKsHCx4AaABAg.AXGYy7qLn-mAXJkmK5XBfP,UgzuNy8X5miRzAKsHCx4AaABAg,dXVH1T_3XGA,True,@bomberk1ll,2026-05-27T15:46:11Z,2026-05-27T15:46:11Z,0,Pigliati il maalox😂,UgzuNy8X5miRzAKsHCx4AaABAg,1,lastampa,author_1830
UgyroMnAQoW-JzaBeyB4AaABAg,,dXVH1T_3XGA,False,@ale1962-t3t,2026-05-27T15:54:43Z,2026-05-27T15:54:43Z,0,Speriamo che i sinistri abbiano fatto una bella scorta di maalox,,0,lastampa,author_2600
Ugzky7K3RlJo95WPUBJ4AaABAg,,dXVH1T_3XGA,False,@matteopedrotti9116,2026-05-28T10:02:27Z,2026-05-28T10:02:27Z,0,Giovane SINDACO BUON LAVORO.. un abbraccio dalla VALTELLINA.. w il CENTRO D' ESTRA,,0,lastampa,author_1819
UgxUWnbothOyBgTFzPp4AaABAg,,dXVH1T_3XGA,False,@ignotogreen5408,2026-05-28T10:59:42Z,2026-05-28T10:59:42Z,0,Rimandate il letame in Africa,,0,lastampa,author_4404
