comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugy4__QSk4zvdb_XCnd4AaABAg,,nkY13PRpl4w,False,@marcofiorentini4939,2026-05-24T17:37:07Z,2026-05-24T17:37:07Z,6,"Si sono picchiati da soli.,",,0,lastampa,author_4517
UgwPCUmAr9sIPWhmT-d4AaABAg,,nkY13PRpl4w,False,@MARCOCAMPI-p8e,2026-05-24T17:47:03Z,2026-05-24T17:47:03Z,6,Si sono auto torturati 🤣🤣🤣,,0,lastampa,author_482
UgxlZl7fad-mU2RFLB94AaABAg,,nkY13PRpl4w,False,@mariosaccardo2327,2026-05-24T17:57:06Z,2026-05-24T17:57:06Z,0,Dovevano restare a casa,,0,lastampa,author_1442
UgyerIfffovAyJ1s8cl4AaABAg,,nkY13PRpl4w,False,@mariafasano6081,2026-05-24T18:16:04Z,2026-05-24T18:16:04Z,0,Bugiardi 😡,,0,lastampa,author_4092
Ugzpantb16UmQK3Vxy94AaABAg,,nkY13PRpl4w,False,@AnnaRavarotto,2026-05-24T18:38:59Z,2026-05-24T18:38:59Z,2,Che dementi magari fosse vero,,0,lastampa,author_4518
UgwTeMTaJixO6u0ohH14AaABAg,,nkY13PRpl4w,False,@luciaderrico6527,2026-05-24T19:12:31Z,2026-05-24T19:12:31Z,2,Si  sono  torturati   da  soli   !!!!😡😡😡,,0,lastampa,author_3335
UgxlZl7fad-mU2RFLB94AaABAg.AXCGNYVt7oWAXCPscjh1wI,UgxlZl7fad-mU2RFLB94AaABAg,nkY13PRpl4w,True,@XMAN-t1h,2026-05-24T19:20:07Z,2026-05-24T19:20:07Z,1,"Sì, quelli delle IDF e Ben Gvir",UgxlZl7fad-mU2RFLB94AaABAg,1,lastampa,author_110
Ugy4__QSk4zvdb_XCnd4AaABAg.AXCE59THX7mAXCRL-yJUO0,Ugy4__QSk4zvdb_XCnd4AaABAg,nkY13PRpl4w,True,@Torinese-q7m,2026-05-24T19:32:52Z,2026-05-24T19:32:52Z,2,👍🏻🤦‍♀️😬,Ugy4__QSk4zvdb_XCnd4AaABAg,1,lastampa,author_4398
UgwmrH_WNKCwxpNWE694AaABAg,,nkY13PRpl4w,False,@mariaruggiero6354,2026-05-24T20:14:00Z,2026-05-24T20:14:00Z,0,Si sono  truccati benissimo   perfetti   erano in scena,,0,lastampa,author_4519
UgzLDNpJDB1xcFB9X454AaABAg,,nkY13PRpl4w,False,@marialuisaguzzinati,2026-05-24T22:04:42Z,2026-05-24T22:04:42Z,0,Certo che in quanto a fantasia sono i.n. 1.,,0,lastampa,author_4520
UgxkXtEp5eaCd4oBq2B4AaABAg,,nkY13PRpl4w,False,@MidgardMystic,2026-05-25T02:40:12Z,2026-05-25T02:40:12Z,0,A morte Israele!,,0,lastampa,author_41
UgyAvjw0OMWhszWqIX54AaABAg,,nkY13PRpl4w,False,@MidgardMystic,2026-05-25T02:41:30Z,2026-05-25T02:41:30Z,0,"Bugiardi fino all'ultimo, speriamo che qualcuno polverizzi Israele, il cristo vi maledica...",,0,lastampa,author_41
UgwPFZmNJ9hmggs4FZF4AaABAg,,nkY13PRpl4w,False,@virginiobanfi1128,2026-05-25T11:15:32Z,2026-05-25T11:15:32Z,0,Annola peste o la sifilide,,0,lastampa,author_2595
UgztMP0yfHO8dllUms14AaABAg,,nkY13PRpl4w,False,@NinoVaccher,2026-05-25T16:13:48Z,2026-05-25T16:13:48Z,0,Assomigliano dei wurstel attaccati alla pelle andate a lavorare coglioni,,0,lastampa,author_3411
