comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxF6Ht6IIZJ742PsLR4AaABAg,,MHcD77-9TpY,False,@gabrielebuemi-p7f,2026-05-26T15:17:05Z,2026-05-26T15:17:05Z,0,Ma ciao🎉🎉,,0,repubblica,author_86
UgyKiaDUOKoc8ti1s154AaABAg,,MHcD77-9TpY,False,@gianlucapuppola3081,2026-05-26T15:26:11Z,2026-05-26T15:26:11Z,0,A me pare si stiano divertendo ne sparare di puttanate,,0,repubblica,author_474
Ugyuo0imOfOA6il98Yp4AaABAg,,MHcD77-9TpY,False,@cinziatessari3006,2026-05-26T15:36:05Z,2026-05-26T15:36:05Z,0,Domani tutti in ospedale con la salmonella,,0,repubblica,author_726
UgwKrl1CibPOVyp53ex4AaABAg,,MHcD77-9TpY,False,@stefanocadau3657,2026-05-26T15:41:27Z,2026-05-26T15:41:27Z,1,Domani tutti in terapia intensiva 😂😂😂😂,,0,repubblica,author_727
Ugyb5PPWoGWkO6JCHeJ4AaABAg,,MHcD77-9TpY,False,@yksmile-v1l,2026-05-26T15:44:45Z,2026-05-26T15:44:45Z,0,Che schifo eh,,0,repubblica,author_728
UgwBLJlUX5hM8Y7kFHp4AaABAg,,MHcD77-9TpY,False,@Aliena31,2026-05-26T15:54:01Z,2026-05-26T15:54:01Z,8,Quanti poi al pronto soccorso con la dissenteria e infezioni varie?,,0,repubblica,author_729
UgyuTFJwwxuS7XOXDud4AaABAg,,MHcD77-9TpY,False,@S.0915,2026-05-26T16:19:50Z,2026-05-26T16:19:50Z,5,Con tutti i topi che ci sono sai che bellezza 😂😂😂,,0,repubblica,author_730
UgxX74Y3arYZw2b7wDJ4AaABAg,,MHcD77-9TpY,False,@filippomontelatici5558,2026-05-26T16:22:57Z,2026-05-26T16:22:57Z,0,Ormai vale tutto,,0,repubblica,author_731
UgzQMqRKUI_3IXTpO0N4AaABAg,,MHcD77-9TpY,False,@giorgiai212,2026-05-26T16:26:31Z,2026-05-26T16:26:31Z,0,“Le persone”…quattro deficienti 😂,,0,repubblica,author_732
UgxBM9FYHo4vcUL8JUh4AaABAg,,MHcD77-9TpY,False,@valeriofantinato4934,2026-05-26T16:26:33Z,2026-05-26T16:26:33Z,11,"Anche in Italia superano i 30 gradi...
Ma nessuno si lancia nello schifo😂",,0,repubblica,author_733
