comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxjovVRJWunf_Bwu2d4AaABAg,,y-_N-NGhP7k,False,@sabrinamatta2466,2026-05-26T09:51:08Z,2026-05-26T09:51:08Z,18,Bastardi criminali delinquenti,,0,repubblica,author_1580
UgzCtTrPCYwcMYkhSEF4AaABAg,,y-_N-NGhP7k,False,@gabrielepescetto5816,2026-05-26T09:58:34Z,2026-05-26T09:58:34Z,7,"Viva le risorse e chi le vuole 
Vale a dire quelli che il vostro giornale si dà tanto da fare a pubblicizzare",,0,repubblica,author_1581
Ugz37jhHew3bygQs6Gl4AaABAg,,y-_N-NGhP7k,False,@mercurio86,2026-05-26T09:59:55Z,2026-05-26T09:59:55Z,10,Saranno Svedesi??,,0,repubblica,author_1381
UgyLUbryNn02iAPDrMl4AaABAg,,y-_N-NGhP7k,False,@boncino87,2026-05-26T10:00:09Z,2026-05-26T10:00:09Z,1,ovviamente erano immigrati di Bolzano vero?,,0,repubblica,author_739
Ugyo0bYAVc0txdJjL7l4AaABAg,,y-_N-NGhP7k,False,@Alettimo,2026-05-26T10:26:45Z,2026-05-26T10:26:45Z,10,Risorse o psicologicamente instabili suppongo,,0,repubblica,author_83
UgzhQQb29bdpoItZPVV4AaABAg,,y-_N-NGhP7k,False,@SasàVi-y2d,2026-05-26T10:28:28Z,2026-05-26T10:28:28Z,0,Girate armati!,,0,repubblica,author_1582
UgyLUbryNn02iAPDrMl4AaABAg.AXGZO0P5D5gAXGcmxAF2Xv,UgyLUbryNn02iAPDrMl4AaABAg,y-_N-NGhP7k,True,@LucaLP-ho9ty,2026-05-26T10:38:38Z,2026-05-26T10:38:38Z,0,Ja klar. In Bozen geboren und aufgezogen.,UgyLUbryNn02iAPDrMl4AaABAg,1,repubblica,author_150
UgytmYYYE6wlvsyOgWp4AaABAg,,y-_N-NGhP7k,False,@MsPARTENOPEO89,2026-05-26T10:41:52Z,2026-05-26T10:41:52Z,7,Mostrare i volti e i nomi così da essere perseguiti e perseguitati.,,0,repubblica,author_1583
UgwoZOl2kdrlTC3Rtyl4AaABAg,,y-_N-NGhP7k,False,@StefanoRestelli-w9x,2026-05-26T10:53:58Z,2026-05-26T10:53:58Z,4,Una risorsa,,0,repubblica,author_1584
UgwsBlavwICp-A7sD8N4AaABAg,,y-_N-NGhP7k,False,@simonecrisci9388,2026-05-26T10:56:56Z,2026-05-26T10:56:56Z,0,Norvegesi? Se ne tornassero a Oslo,,0,repubblica,author_434
Ugwec0QYwLMMAMtQgkR4AaABAg,,y-_N-NGhP7k,False,@MarcoMusco-ll8eb,2026-05-26T11:07:50Z,2026-05-26T11:07:50Z,1,Tranquilli è solo percezione!!! Cit.,,0,repubblica,author_252
UgwfwmGluBLS_K-KItl4AaABAg,,y-_N-NGhP7k,False,@raimondofranceschino1274,2026-05-26T11:19:21Z,2026-05-26T11:19:21Z,0,Pezzi dì merda tossici e delinquenti,,0,repubblica,author_1330
Ugws27IJ9NyQinJjNSV4AaABAg,,y-_N-NGhP7k,False,@lucamascellani4201,2026-05-26T11:34:52Z,2026-05-26T11:34:52Z,1,LAUREATI   ?,,0,repubblica,author_233
UgzU_Kte6MVTHeamr1N4AaABAg,,y-_N-NGhP7k,False,@lucamascellani4201,2026-05-26T11:35:07Z,2026-05-26T11:35:07Z,1,I     COMPAGNI     DEI     PRO.PAZ,,0,repubblica,author_233
UgxBYLJdpt8_PZSSXVR4AaABAg,,y-_N-NGhP7k,False,@lucamascellani4201,2026-05-26T11:35:24Z,2026-05-26T11:35:24Z,1,ERANO    SULLA      FLOTILLA  ?,,0,repubblica,author_233
Ugz37jhHew3bygQs6Gl4AaABAg.AXGZMHT9BPAAXGkSAmVrj4,Ugz37jhHew3bygQs6Gl4AaABAg,y-_N-NGhP7k,True,@dimaefrosimov105,2026-05-26T11:45:34Z,2026-05-26T11:45:34Z,0,Да ..настоящие шведы...из Анголы или Сирии😂😂😂😂,Ugz37jhHew3bygQs6Gl4AaABAg,1,repubblica,author_1585
UgxBYLJdpt8_PZSSXVR4AaABAg.AXGjHfrdxs1AXHHORiB1vT,UgxBYLJdpt8_PZSSXVR4AaABAg,y-_N-NGhP7k,True,@LUKETTO821,2026-05-26T16:42:10Z,2026-05-26T16:42:10Z,0,Che c'entra la flottilla???? 🤔🤔🤔,UgxBYLJdpt8_PZSSXVR4AaABAg,1,repubblica,author_344
UgyoXoQyU9P5x5jWZMZ4AaABAg,,y-_N-NGhP7k,False,@vincenzotiberi3158,2026-05-26T23:24:19Z,2026-05-26T23:24:19Z,0,Chi potevano essere? Due maomettani con la sciarpa di pro Hamas 👹😈👹😈👹😈🤮🤮🤮🤮,,0,repubblica,author_1586
Ugw553bGtkRNI0ayJxx4AaABAg,,y-_N-NGhP7k,False,@LorenzoSemi-c6d,2026-05-27T09:35:19Z,2026-05-27T09:35:19Z,0,🐒🐒🐒 del cazzo,,0,repubblica,author_410
UgwoZOl2kdrlTC3Rtyl4AaABAg.AXGeY9f0veLAXJ8ycCPkfl,UgwoZOl2kdrlTC3Rtyl4AaABAg,y-_N-NGhP7k,True,@sgsrider00,2026-05-27T10:07:05Z,2026-05-27T10:07:05Z,0,Un italiano medio che abbaia dietro allo schermo 🫵🏻,UgwoZOl2kdrlTC3Rtyl4AaABAg,1,repubblica,author_441
Ugyo0bYAVc0txdJjL7l4AaABAg.AXGbQrgDTkJAXJ93VPwvwZ,Ugyo0bYAVc0txdJjL7l4AaABAg,y-_N-NGhP7k,True,@sgsrider00,2026-05-27T10:07:53Z,2026-05-27T10:07:53Z,0,Sei un Sempliciotto o un italiano medio ?,Ugyo0bYAVc0txdJjL7l4AaABAg,1,repubblica,author_441
UgzCtTrPCYwcMYkhSEF4AaABAg.AXGZCRk1HizAXJ98YOPvpD,UgzCtTrPCYwcMYkhSEF4AaABAg,y-_N-NGhP7k,True,@sgsrider00,2026-05-27T10:08:34Z,2026-05-27T10:08:39Z,0,"Ecco Gabriele, l’italiota medio col mezzo neurone che abbaia dietro allo schermo.",UgzCtTrPCYwcMYkhSEF4AaABAg,1,repubblica,author_441
UgzEcuvdfOBFH9GZIg14AaABAg,,y-_N-NGhP7k,False,@s.9645,2026-05-27T10:32:24Z,2026-05-27T10:32:24Z,1,"Perché oscurare avete paura che vengono linciati sempre a proteggere i criminali,che tristezza di paese",,0,repubblica,author_2
Ugzxf9u6HSOUQlkjEeZ4AaABAg,,y-_N-NGhP7k,False,@francescoiarrera9450,2026-05-27T16:42:16Z,2026-05-27T16:42:16Z,1,Perché li oscurate... Fateli vedere...🤬,,0,repubblica,author_1587
Ugx5UMVLE4r86wR1Std4AaABAg,,y-_N-NGhP7k,False,@EduardoCositore-v3t,2026-05-27T18:39:06Z,2026-05-27T18:39:06Z,0,Munnezz,,0,repubblica,author_1588
UgwahE4nQWUXHgex4Ot4AaABAg,,y-_N-NGhP7k,False,@dariolessi7802,2026-05-28T13:15:35Z,2026-05-28T13:15:35Z,0,Estracomunitari Escrementi di maiale 🐷 fogna di gentaglia,,0,repubblica,author_1495
UgyB19qG1xXVziidLNl4AaABAg,,y-_N-NGhP7k,False,@matrix01958,2026-05-28T14:17:32Z,2026-05-28T14:17:32Z,0,Ringraziate la nagistratura per 99% di sinistra e antiitaliana....ivi compresa la Costituzione komunista!,,0,repubblica,author_67
UgzPKXH71guj6ps10CR4AaABAg,,y-_N-NGhP7k,False,@paolotavars5811,2026-05-28T14:31:21Z,2026-05-28T14:31:21Z,0,Al muro.,,0,repubblica,author_1589
Ugx4RvHevhVJDfVoX8l4AaABAg,,y-_N-NGhP7k,False,@alessandropoggi-b9m,2026-05-28T14:40:58Z,2026-05-28T14:40:58Z,0,"Le risorse della Boldrini 😂😂e 
Allah è gayy😂",,0,repubblica,author_703
