video_id,newspaper,video_text,video_description,video_topic,num_comments,num_offensive_comments,offensive_score,offensive_trigger,type,true_label,pred_label
-Jz16gcNDG4,corriere_della_sera,"Monza, lascia in eredità 570mila euro (e una casa) ai monaci: i nipoti si oppongono","La signora era deceduta nel 2019 a 93 anni nella sua Lissone, in provincia di Monza, e non avendo marito né figli aveva disposto tutto nei minimi particolari in un testamento che aveva redatto con cura nel 2011 e depositato presso il notaio di fiducia. Dopo la sua morte il notaio aveva reso note le ultime volontà della donna, che a parte alcuni lasciti «minori» a due nipoti - figli di un fratello - aveva stabilito di lasciare la propria casa di Lissone e i 570 mila euro all'epoca presenti sui suoi conti ai monaci benedettini del monastero di Dumenza, in provincia di Varese.
Nelle sue disposizioni testamentarie la signora era stata molto precisa e meticolosa nel descrivere tutte le sue volontà, e aveva anche precisato che i monaci avrebbero dovuto occuparsi dei funerali e della sepoltura. Nulla era stato lasciato al caso: gli immobili, i lasciti ai nipoti, i mobili e gli arredi, e tutto ciò di cui disponeva. Insomma un testamento modello, come hanno poi sottolineato i giudici di Monza. Sì, perché questa vicenda è finita in un'aula di Tribunale dopo che i nipoti hanno rifiutato le somme che il notaio voleva loro corrispondere, come da testamento, in sede di esecuzione dello stesso, perché a loro dire esisteva un secondo testamento, redatto nel 2017 ed emerso solo nel 2022, nel quale la zia avrebbe lasciato tutti i suoi averi proprio a loro due, e a nessun altro.",human interest,20,3,0.5701,0,gold,0,1
-vjNeffdABU,corriere_della_sera,Genova-Milano in treno in 55 minuti dal 2030: a che punto sono i lavori,"Nuovo passo avanti per il Terzo Valico dei Giovi, l’infrastruttura ferroviaria destinata a rivoluzionare i collegamenti tra la Liguria, il Nord Italia e il cuore dell’Europa. È stata completata la tratta Castagnola-Vallemme, uno dei segmenti più complessi dell’intero progetto a causa delle difficili condizioni geologiche incontrate durante gli scavi. Nella mattinata di giovedì 21 maggio è stato abbattuto il diaframma del secondo binario in direzione nord, segnando il completamento di un tratto lungo circa 2,8 chilometri per ciascun binario tra i cantieri di Vallemme, nel comune di Voltaggio, e Castagnola, nel territorio di Fraconalto, in provincia di Alessandria.",science and technology,2,1,0.2952,0,silver,0,0
019ku18Adko,corriere_della_sera,"Addio a Renato Romagnoli, il partigiano “Italiano” che guidò la Resistenza di Bologna","Finché ha potuto, Renato “Italiano” Romagnoli ha scelto le scuole e i giovani per spiegare cos’è stata la Resistenza. «Cerco di tramandare quello che abbiamo fatto, che era sì terribile ma di cui sono orgoglioso». I più «tremendi» quelli delle elementari, che gli chiedevano quante persone avesse ucciso in quegli anni. «Gli rispondevo dicendo che se nella vita uccidi vai in galera, in guerra ti danno le medaglie. È il peggior dramma dell’umanità». Di medaglie lui ne aveva ricevuta una, importante, d’argento al valor militare per aver combattuto nella battaglia di porta Lame del 7 novembre 1944 e in quella della Bolognina del 15 novembre. Una medaglia che non ha mai spazzato via i tormenti di una vita. «Ancora adesso dormo agitato. Mia moglie mi chiede che succede e io mi invento sempre qualche scusa», raccontava.
È stato l’ultimo presidente partigiano dell’Anpi di Bologna, dopo di lui Anna Cocchi, nata negli anni successivi alla Liberazione. Nato sotto le Torri il 20 dicembre 1926 stava per compiere 100 anni, ma è morto prima, in un caldo giorno di maggio. Da giovane operaio della Ducati, si iscrisse presto al Pci e finì in galera dopo la caduta del regime fascista. Dopo la licenza all’istituto d'avviamento professionale diviene operaio alle Officine Civolani della Bolognina. Sul finire del 1942, a 16 anni, aderisce al Pci a cui resterà iscritto fino al 1982, qualche anno dopo l’intervista di Giampaolo Pansa a Enrico Berlinguer, «dove disse che si sentiva più al sicuro con la Nato: non mi colpì più di tanto». Dopo la caduta del regime fascista, viene arrestato il 27 luglio 1943 e in carcere ci resta fino al 17 settembre. Si sposta sulle montagne venete per formare i primi gruppi partigiani del posto, poi il 7 aprile 1944 ritorna a Bologna e diviene componente della 7ª Brigata Garibaldi GAP. Diventerà uno dei principali protagonisti della Resistenza in città.",society,4,2,0.5559,0,silver,0,0
06P2sBlAqf8,corriere_della_sera,"Abbiamo provato Gemini Omni, nuovo modello Google per creare video con l’intelligenza artificiale","Google ha appena lanciato Gemini Omni, il suo nuovo modello basato sull'intelligenza artificiale che consente di creare video di qualsiasi tipo, a partire da immagini, testi, audio e video. In altre parole, possiamo caricare qualsiasi tipo di immagine o di video, spiegare a voce o scrivere che tipo di contenuto vogliamo che l'intelligenza artificiale crei per noi e poi aspettare il risultato. Gemini Omni Flash è disponibile per tutti gli abbonati Google AI Pro e Ultra a livello globale attraverso l'app Gemini e Google Flow. Sarà poi disponibile gratuitamente anche per gli utenti di YouTube Shorts e dell'app YouTube Create. Abbiamo quindi deciso di fare una prova e chiedere a Omni di realizzare un video di una nostra collega, Cristina Marrone, mentre cammina sulla Luna: ecco com'è andata",science and technology,1,1,0.5,0,silver,0,0
0XkW6iFCmuw,corriere_della_sera,"Il sindaco di Modena: “L’uomo è stato fermato anche da cittadini stranieri, no agli avvoltoi”","«Le indagini sono in corso da parte della Procura. Però voglio dire questo: era un ragazzo di 31 anni, nato a Bergamo, residente a Ravarino. Aveva avuto degli elementi di schizofrenia che lo avevano portato a recarsi nei centri di salute mentale tra il 2022 e il 2024, ma non era sottoposto a Tso e sentendo il sindaco, la comunità di Ravarino, tutti mi dicono che era un ragazzo normale, che non aveva mai dato, mai, nessun segno di squilibrio visibile e conviveva tranquillamente in paese». Lo ha spiegato il sindaco di Modena Massimo Mezzetti, rispondendo a domande sul profilo di Salim El Koudri, fermato per strage e lesioni aggravate, dopo aver investito alcune persone in via Emilia Centro, ieri pomeriggio a Modena. «Io non so se aveva la patente o non aveva la patente, ma non sembrava ci fossero motivi. Poi ora interverranno gli organi preposti e ci diranno meglio nei prossimi giorni, immagino».","crime, law and justice",65,48,0.864,1,silver,1,1
13CAxuIcrUI,corriere_della_sera,Dopo settimane di maltempo arriva un anticipo d’estate: dal 21 maggio sole e caldo,"Giovedì 21 maggio sarà una giornata di generale bel tempo, con isolati piovaschi localizzati. Temperature sia minime che massime in tendenziale aumento, fenomeno che si accentuerà nel fine settimana con il predominio dell’anticiclone africano.",weather,0,0,0.0,0,silver,0,0
1INlCHAd7Ks,corriere_della_sera,Carvico (Bergamo): 59enne ferito con un colpo di fiocina nel parcheggio del supermercato,È durata circa nove ore la fuga dell’uomo che nel primo pomeriggio di ieri a Carvico ha ferito con un colpo di fiocina al petto un 59enne incensurato che aveva appena salutato la moglie nel parcheggio del supermercato Iperal. Il presunto autore è stato fermato a Sarnico in serata dal Nucleo operativo dei carabinieri della Compagnia di Zogno.,"crime, law and justice",4,4,0.7474,1,silver,1,1
1a28nfOG4ZI,corriere_della_sera,L’ex principe Andrea indagato per sospetti reati sessuali nell’ambito del caso Epstein,"Si allarga a possibili reati sessuali l’inchiesta sull’ex principe Andrea, il fratello di re Carlo e figlio prediletto della regina Elisabetta. Andrea era già stato brevemente arrestato e interrogato a febbraio, nel giorno del suo 66esimo compleanno, perché sospettato di aver passato informazioni governative riservate, quando era inviato speciale per il commercio estero, al suo amico e sodale Jeffrey Epstein, il finanziere pedofilo americano morto in carcere a New York per presunto suicidio.","crime, law and justice",6,3,0.6441,0,silver,0,1
2ZpnJ2x5goI,corriere_della_sera,"Grosseto, allo studentato il bagno per “11 generi”: uomo, donna, Batman, sirene, Zorro, alieni","«Uomo» e «donna» sono concetti superati. Almeno all'Its Eat Academy - la Cittadella dello studente di Grosseto - dove, oltre ai generi «scontati» di cui sopra, sulla nuova iconografica dei bagni compaiono Batman, una sirena, una donna incinta, Zorro, un alieno, R2D2 di Guerre Stellari e un uomo con la gonna. Per un totale di undici differenti categorie di persone, e non solo, come a dire: «Qui possono entrare tutti».
Le due porte (perché non una?) si traducono in due modi poco concilianti di pensare e di approcciarsi all'argomento.",society,38,27,0.8443,1,silver,1,1
3105yWlwvII,corriere_della_sera,La denuncia del parroco della cattedrale di Taranto: “Neanche un fiore per Sako Bakari”,"«Sono qui da 11 anni e una cosa simile non l’ho mai vista e vissuta. Non siamo in un luogo pericoloso. Qui ci conosciamo davvero tutti».
Don Emanuele Ferro, parroco 48enne della Cattedrale San Cataldo e delle chiese della città vecchia, si dice ancora «sconvolto» per la terribile morte di Sako Bakari, il 35enne bracciante del Mali ucciso all’alba di sabato in piazza Fontana a Taranto da un gruppo di giovani, quasi tutti minorenni.","crime, law and justice",76,32,0.8397,1,silver,1,1
